Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",C0805,5,10uF,
P1,IDC-TH_16P-P2.54_C3406,1,HDR-IDC-2.54-2X8P,C3406
Q1,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,1,D882_C9634,C9634
"R1, R11, R12, R13, R2, R7, R8",R0805,7,1K,
"R10, R4, R6",R0805,3,330,
"R3, R5",R0805,2,680,
R9,R0805,1,1.5K,
U2,MCU_Seeed_ESP32C3,1,MOUDLE-SEEEDUINO-XIAO-ESP32C3,
U5,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,LM2940S-5.0,C596334
